entity_id	business_name	business_address	country	name_norm	address_norm	country_norm	name_tokens	address_tokens	name_char_ngrams	address_char_ngrams	source
S1-100399179	Rahul Chemicals (India)	13/82 Lgf, Vikram Vihar, Lajpat Nagar - Iv, New Delhi, South Delhi, Delhi	India	rahul chemicals india	13 82 lgf vikram vihar lajpat nagar iv new delhi south delhi delhi	india	"[""rahul"",""chemicals"",""india""]"	"[""13"",""82"",""lgf"",""vikram"",""vihar"",""lajpat"",""nagar"",""iv"",""new"",""delhi"",""south"",""delhi"",""delhi""]"	"[""^ra"",""rah"",""ahu"",""hul"",""ul "",""l c"","" ch"",""che"",""hem"",""emi"",""mic"",""ica"",""cal"",""als"",""ls "",""s i"","" in"",""ind"",""ndi"",""dia"",""ia$""]"	"[""^13"",""13 "",""3 8"","" 82"",""82 "",""2 l"","" lg"",""lgf"",""gf "",""f v"","" vi"",""vik"",""ikr"",""kra"",""ram"",""am "",""m v"","" vi"",""vih"",""iha"",""har"",""ar "",""r l"","" la"",""laj"",""ajp"",""jpa"",""pat"",""at "",""t n"","" na"",""nag"",""aga"",""gar"",""ar "",""r i"","" iv"",""iv "",""v n"","" ne"",""new"",""ew "",""w d"","" de"",""del"",""elh"",""lhi"",""hi "",""i s"","" so"",""sou"",""out"",""uth"",""th "",""h d"","" de"",""del"",""elh"",""lhi"",""hi "",""i d"","" de"",""del"",""elh"",""lhi"",""hi$""]"	S1
S1-100511071	Shakti Infra Private Limited	C/O Jagabandhu Mondal, Vill- Mirzapur, Sethpur, North 24 Parganas, West Bengal	India	shakti infra private limited	c o jagabandhu mondal vill mirzapur sethpur north 24 parganas west bengal	india	"[""shakti"",""infra"",""private"",""limited""]"	"[""c"",""o"",""jagabandhu"",""mondal"",""vill"",""mirzapur"",""sethpur"",""north"",""24"",""parganas"",""west"",""bengal""]"	"[""^sh"",""sha"",""hak"",""akt"",""kti"",""ti "",""i i"","" in"",""inf"",""nfr"",""fra"",""ra "",""a p"","" pr"",""pri"",""riv"",""iva"",""vat"",""ate"",""te "",""e l"","" li"",""lim"",""imi"",""mit"",""ite"",""ted"",""ed$""]"	"[""^c "",""c o"","" o "",""o j"","" ja"",""jag"",""aga"",""gab"",""aba"",""ban"",""and"",""ndh"",""dhu"",""hu "",""u m"","" mo"",""mon"",""ond"",""nda"",""dal"",""al "",""l v"","" vi"",""vil"",""ill"",""ll "",""l m"","" mi"",""mir"",""irz"",""rza"",""zap"",""apu"",""pur"",""ur "",""r s"","" se"",""set"",""eth"",""thp"",""hpu"",""pur"",""ur "",""r n"","" no"",""nor"",""ort"",""rth"",""th "",""h 2"","" 24"",""24 "",""4 p"","" pa"",""par"",""arg"",""rga"",""gan"",""ana"",""nas"",""as "",""s w"","" we"",""wes"",""est"",""st "",""t b"","" be"",""ben"",""eng"",""nga"",""gal"",""al$""]"	S1
S1-100953104	White Infotech Private Limited	Near Badel Naje Abadi Hiway Bypass Banki Barabanki, Nawabganj, Barabanki, Uttar Pradesh	India	white infotech private limited	near badel naje abadi hiway bypass banki barabanki nawabganj barabanki uttar pradesh	india	"[""white"",""infotech"",""private"",""limited""]"	"[""near"",""badel"",""naje"",""abadi"",""hiway"",""bypass"",""banki"",""barabanki"",""nawabganj"",""barabanki"",""uttar"",""pradesh""]"	"[""^wh"",""whi"",""hit"",""ite"",""te "",""e i"","" in"",""inf"",""nfo"",""fot"",""ote"",""tec"",""ech"",""ch "",""h p"","" pr"",""pri"",""riv"",""iva"",""vat"",""ate"",""te "",""e l"","" li"",""lim"",""imi"",""mit"",""ite"",""ted"",""ed$""]"	"[""^ne"",""nea"",""ear"",""ar "",""r b"","" ba"",""bad"",""ade"",""del"",""el "",""l n"","" na"",""naj"",""aje"",""je "",""e a"","" ab"",""aba"",""bad"",""adi"",""di "",""i h"","" hi"",""hiw"",""iwa"",""way"",""ay "",""y b"","" by"",""byp"",""ypa"",""pas"",""ass"",""ss "",""s b"","" ba"",""ban"",""ank"",""nki"",""ki "",""i b"","" ba"",""bar"",""ara"",""rab"",""aba"",""ban"",""ank"",""nki"",""ki "",""i n"","" na"",""naw"",""awa"",""wab"",""abg"",""bga"",""gan"",""anj"",""nj "",""j b"","" ba"",""bar"",""ara"",""rab"",""aba"",""ban"",""ank"",""nki"",""ki "",""i u"","" ut"",""utt"",""tta"",""tar"",""ar "",""r p"","" pr"",""pra"",""rad"",""ade"",""des"",""esh"",""sh$""]"	S1
S1-101762377	Hill Investments PLLC	4110 Anderson Street, Milan, TN	US	hill investments pllc	4110 anderson street milan tn	us	"[""hill"",""investments"",""pllc""]"	"[""4110"",""anderson"",""street"",""milan"",""tn""]"	"[""^hi"",""hil"",""ill"",""ll "",""l i"","" in"",""inv"",""nve"",""ves"",""est"",""stm"",""tme"",""men"",""ent"",""nts"",""ts "",""s p"","" pl"",""pll"",""llc"",""lc$""]"	"[""^41"",""411"",""110"",""10 "",""0 a"","" an"",""and"",""nde"",""der"",""ers"",""rso"",""son"",""on "",""n s"","" st"",""str"",""tre"",""ree"",""eet"",""et "",""t m"","" mi"",""mil"",""ila"",""lan"",""an "",""n t"","" tn"",""tn$""]"	S1
S1-102539463	Swastik Consulting Private Limited	10-6-87/2, Srinivas Colony, Mahabubnagar H.O, Mahabub Nagar, Telangana	India	swastik consulting private limited	10 6 87 2 srinivas colony mahabubnagar h o mahabub nagar telangana	india	"[""swastik"",""consulting"",""private"",""limited""]"	"[""10"",""6"",""87"",""2"",""srinivas"",""colony"",""mahabubnagar"",""h"",""o"",""mahabub"",""nagar"",""telangana""]"	"[""^sw"",""swa"",""was"",""ast"",""sti"",""tik"",""ik "",""k c"","" co"",""con"",""ons"",""nsu"",""sul"",""ult"",""lti"",""tin"",""ing"",""ng "",""g p"","" pr"",""pri"",""riv"",""iva"",""vat"",""ate"",""te "",""e l"","" li"",""lim"",""imi"",""mit"",""ite"",""ted"",""ed$""]"	"[""^10"",""10 "",""0 6"","" 6 "",""6 8"","" 87"",""87 "",""7 2"","" 2 "",""2 s"","" sr"",""sri"",""rin"",""ini"",""niv"",""iva"",""vas"",""as "",""s c"","" co"",""col"",""olo"",""lon"",""ony"",""ny "",""y m"","" ma"",""mah"",""aha"",""hab"",""abu"",""bub"",""ubn"",""bna"",""nag"",""aga"",""gar"",""ar "",""r h"","" h "",""h o"","" o "",""o m"","" ma"",""mah"",""aha"",""hab"",""abu"",""bub"",""ub "",""b n"","" na"",""nag"",""aga"",""gar"",""ar "",""r t"","" te"",""tel"",""ela"",""lan"",""ang"",""nga"",""gan"",""ana"",""na$""]"	S1
S1-103306793	Swastik Management	Flat No. 1006, 10Th Floor Block C, Hig Flats, Sec 29, Rohini, Delhi, West Delhi, Delhi	India	swastik management	flat number 1006 10th floor block c hig flats sec 29 rohini delhi west delhi delhi	india	"[""swastik"",""management""]"	"[""flat"",""number"",""1006"",""10th"",""floor"",""block"",""c"",""hig"",""flats"",""sec"",""29"",""rohini"",""delhi"",""west"",""delhi"",""delhi""]"	"[""^sw"",""swa"",""was"",""ast"",""sti"",""tik"",""ik "",""k m"","" ma"",""man"",""ana"",""nag"",""age"",""gem"",""eme"",""men"",""ent"",""nt$""]"	"[""^fl"",""fla"",""lat"",""at "",""t n"","" nu"",""num"",""umb"",""mbe"",""ber"",""er "",""r 1"","" 10"",""100"",""006"",""06 "",""6 1"","" 10"",""10t"",""0th"",""th "",""h f"","" fl"",""flo"",""loo"",""oor"",""or "",""r b"","" bl"",""blo"",""loc"",""ock"",""ck "",""k c"","" c "",""c h"","" hi"",""hig"",""ig "",""g f"","" fl"",""fla"",""lat"",""ats"",""ts "",""s s"","" se"",""sec"",""ec "",""c 2"","" 29"",""29 "",""9 r"","" ro"",""roh"",""ohi"",""hin"",""ini"",""ni "",""i d"","" de"",""del"",""elh"",""lhi"",""hi "",""i w"","" we"",""wes"",""est"",""st "",""t d"","" de"",""del"",""elh"",""lhi"",""hi "",""i d"","" de"",""del"",""elh"",""lhi"",""hi$""]"	S1
S1-103669468	Youth Guild LLC	1 Lush Forest Trail, Chesterfield County, VA	US	youth guild llc	1 lush forest trail chesterfield county va	us	"[""youth"",""guild"",""llc""]"	"[""1"",""lush"",""forest"",""trail"",""chesterfield"",""county"",""va""]"	"[""^yo"",""you"",""out"",""uth"",""th "",""h g"","" gu"",""gui"",""uil"",""ild"",""ld "",""d l"","" ll"",""llc"",""lc$""]"	"[""^1 "",""1 l"","" lu"",""lus"",""ush"",""sh "",""h f"","" fo"",""for"",""ore"",""res"",""est"",""st "",""t t"","" tr"",""tra"",""rai"",""ail"",""il "",""l c"","" ch"",""che"",""hes"",""est"",""ste"",""ter"",""erf"",""rfi"",""fie"",""iel"",""eld"",""ld "",""d c"","" co"",""cou"",""oun"",""unt"",""nty"",""ty "",""y v"","" va"",""va$""]"	S1
S1-104386090	Smart Greenland Partners	Pulaski County, 3599 Lake Ridge Drive, VA	US	smart greenland partners	pulaski county 3599 lake ridge drive va	us	"[""smart"",""greenland"",""partners""]"	"[""pulaski"",""county"",""3599"",""lake"",""ridge"",""drive"",""va""]"	"[""^sm"",""sma"",""mar"",""art"",""rt "",""t g"","" gr"",""gre"",""ree"",""een"",""enl"",""nla"",""lan"",""and"",""nd "",""d p"","" pa"",""par"",""art"",""rtn"",""tne"",""ner"",""ers"",""rs$""]"	"[""^pu"",""pul"",""ula"",""las"",""ask"",""ski"",""ki "",""i c"","" co"",""cou"",""oun"",""unt"",""nty"",""ty "",""y 3"","" 35"",""359"",""599"",""99 "",""9 l"","" la"",""lak"",""ake"",""ke "",""e r"","" ri"",""rid"",""idg"",""dge"",""ge "",""e d"","" dr"",""dri"",""riv"",""ive"",""ve "",""e v"","" va"",""va$""]"	S1
S1-104517174	Manley Reliable Association, Inc	13385 Moss Hill Drive, Beaumont, TX	US	manley reliable association incorporated	13385 moss hill drive beaumont tx	us	"[""manley"",""reliable"",""association"",""incorporated""]"	"[""13385"",""moss"",""hill"",""drive"",""beaumont"",""tx""]"	"[""^ma"",""man"",""anl"",""nle"",""ley"",""ey "",""y r"","" re"",""rel"",""eli"",""lia"",""iab"",""abl"",""ble"",""le "",""e a"","" as"",""ass"",""sso"",""soc"",""oci"",""cia"",""iat"",""ati"",""tio"",""ion"",""on "",""n i"","" in"",""inc"",""nco"",""cor"",""orp"",""rpo"",""por"",""ora"",""rat"",""ate"",""ted"",""ed$""]"	"[""^13"",""133"",""338"",""385"",""85 "",""5 m"","" mo"",""mos"",""oss"",""ss "",""s h"","" hi"",""hil"",""ill"",""ll "",""l d"","" dr"",""dri"",""riv"",""ive"",""ve "",""e b"","" be"",""bea"",""eau"",""aum"",""umo"",""mon"",""ont"",""nt "",""t t"","" tx"",""tx$""]"	S1
S1-104594645	Credent International School	25 Venetian Villas, Opp Anandniketan School Vill: Shilaj, Taluka: Daskroi, Ahmedabad, Gujarat	India	credent international school	25 venetian villas opp anandniketan school vill shilaj taluka daskroi ahmedabad gujarat	india	"[""credent"",""international"",""school""]"	"[""25"",""venetian"",""villas"",""opp"",""anandniketan"",""school"",""vill"",""shilaj"",""taluka"",""daskroi"",""ahmedabad"",""gujarat""]"	"[""^cr"",""cre"",""red"",""ede"",""den"",""ent"",""nt "",""t i"","" in"",""int"",""nte"",""ter"",""ern"",""rna"",""nat"",""ati"",""tio"",""ion"",""ona"",""nal"",""al "",""l s"","" sc"",""sch"",""cho"",""hoo"",""ool"",""ol$""]"	"[""^25"",""25 "",""5 v"","" ve"",""ven"",""ene"",""net"",""eti"",""tia"",""ian"",""an "",""n v"","" vi"",""vil"",""ill"",""lla"",""las"",""as "",""s o"","" op"",""opp"",""pp "",""p a"","" an"",""ana"",""nan"",""and"",""ndn"",""dni"",""nik"",""ike"",""ket"",""eta"",""tan"",""an "",""n s"","" sc"",""sch"",""cho"",""hoo"",""ool"",""ol "",""l v"","" vi"",""vil"",""ill"",""ll "",""l s"","" sh"",""shi"",""hil"",""ila"",""laj"",""aj "",""j t"","" ta"",""tal"",""alu"",""luk"",""uka"",""ka "",""a d"","" da"",""das"",""ask"",""skr"",""kro"",""roi"",""oi "",""i a"","" ah"",""ahm"",""hme"",""med"",""eda"",""dab"",""aba"",""bad"",""ad "",""d g"","" gu"",""guj"",""uja"",""jar"",""ara"",""rat"",""at$""]"	S1
