entity_id	business_name	business_address	country	name_norm	address_norm	country_norm	name_tokens	address_tokens	name_char_ngrams	address_char_ngrams	source
S2-100068944	बॉम्बे ट्रेडिंग प्राइवेट लिमिटेड	FLAT NO B-1, THANE, Maharashtra	India	बॉम्बे ट्रेडिंग प्राइवेट लिमिटेड	flat number b 1 thane maharashtra	india	"[""बॉम्बे"",""ट्रेडिंग"",""प्राइवेट"",""लिमिटेड""]"	"[""flat"",""number"",""b"",""1"",""thane"",""maharashtra""]"	"[""^बॉ"",""बॉम"",""ॉम्"",""म्ब"",""्बे"",""बे "",""े ट"","" ट्"",""ट्र"",""्रे"",""रेड"",""ेडि"",""डिं"",""िंग"",""ंग "",""ग प"","" प्"",""प्र"",""्रा"",""राइ"",""ाइव"",""इवे"",""वेट"",""ेट "",""ट ल"","" लि"",""लिम"",""िमि"",""मिट"",""िटे"",""टेड"",""ेड$""]"	"[""^fl"",""fla"",""lat"",""at "",""t n"","" nu"",""num"",""umb"",""mbe"",""ber"",""er "",""r b"","" b "",""b 1"","" 1 "",""1 t"","" th"",""tha"",""han"",""ane"",""ne "",""e m"","" ma"",""mah"",""aha"",""har"",""ara"",""ras"",""ash"",""sht"",""htr"",""tra"",""ra$""]"	S2
S2-100589240	Jk Bienrs Private Limited	H.NO 3 RAJ PALACE CTS NO. 862, PLOT NO. 208, SHIVAJINAGAR, PUNE CITY, Maharashtra	India	jk bienrs private limited	h no 3 raj palace cts number 862 plot number 208 shivajinagar pune city maharashtra	india	"[""jk"",""bienrs"",""private"",""limited""]"	"[""h"",""no"",""3"",""raj"",""palace"",""cts"",""number"",""862"",""plot"",""number"",""208"",""shivajinagar"",""pune"",""city"",""maharashtra""]"	"[""^jk"",""jk "",""k b"","" bi"",""bie"",""ien"",""enr"",""nrs"",""rs "",""s p"","" pr"",""pri"",""riv"",""iva"",""vat"",""ate"",""te "",""e l"","" li"",""lim"",""imi"",""mit"",""ite"",""ted"",""ed$""]"	"[""^h "",""h n"","" no"",""no "",""o 3"","" 3 "",""3 r"","" ra"",""raj"",""aj "",""j p"","" pa"",""pal"",""ala"",""lac"",""ace"",""ce "",""e c"","" ct"",""cts"",""ts "",""s n"","" nu"",""num"",""umb"",""mbe"",""ber"",""er "",""r 8"","" 86"",""862"",""62 "",""2 p"","" pl"",""plo"",""lot"",""ot "",""t n"","" nu"",""num"",""umb"",""mbe"",""ber"",""er "",""r 2"","" 20"",""208"",""08 "",""8 s"","" sh"",""shi"",""hiv"",""iva"",""vaj"",""aji"",""jin"",""ina"",""nag"",""aga"",""gar"",""ar "",""r p"","" pu"",""pun"",""une"",""ne "",""e c"","" ci"",""cit"",""ity"",""ty "",""y m"","" ma"",""mah"",""aha"",""har"",""ara"",""ras"",""ash"",""sht"",""htr"",""tra"",""ra$""]"	S2
S2-10061984	Bright Foundation Private	DOOR NO 4 , NAGZARI, TAL MALEGOAN, MALEGAON, Maharashtra	India	bright foundation private	door number 4 nagzari tal malegoan malegaon maharashtra	india	"[""bright"",""foundation"",""private""]"	"[""door"",""number"",""4"",""nagzari"",""tal"",""malegoan"",""malegaon"",""maharashtra""]"	"[""^br"",""bri"",""rig"",""igh"",""ght"",""ht "",""t f"","" fo"",""fou"",""oun"",""und"",""nda"",""dat"",""ati"",""tio"",""ion"",""on "",""n p"","" pr"",""pri"",""riv"",""iva"",""vat"",""ate"",""te$""]"	"[""^do"",""doo"",""oor"",""or "",""r n"","" nu"",""num"",""umb"",""mbe"",""ber"",""er "",""r 4"","" 4 "",""4 n"","" na"",""nag"",""agz"",""gza"",""zar"",""ari"",""ri "",""i t"","" ta"",""tal"",""al "",""l m"","" ma"",""mal"",""ale"",""leg"",""ego"",""goa"",""oan"",""an "",""n m"","" ma"",""mal"",""ale"",""leg"",""ega"",""gao"",""aon"",""on "",""n m"","" ma"",""mah"",""aha"",""har"",""ara"",""ras"",""ash"",""sht"",""htr"",""tra"",""ra$""]"	S2
S2-100653672	Christ Cathedral	129 LAFAYETTE AVE, NILES, OH	US	christ cathedral	129 lafayette ave niles oh	us	"[""christ"",""cathedral""]"	"[""129"",""lafayette"",""ave"",""niles"",""oh""]"	"[""^ch"",""chr"",""hri"",""ris"",""ist"",""st "",""t c"","" ca"",""cat"",""ath"",""the"",""hed"",""edr"",""dra"",""ral"",""al$""]"	"[""^12"",""129"",""29 "",""9 l"","" la"",""laf"",""afa"",""fay"",""aye"",""yet"",""ett"",""tte"",""te "",""e a"","" av"",""ave"",""ve "",""e n"","" ni"",""nil"",""ile"",""les"",""es "",""s o"","" oh"",""oh$""]"	S2
S2-100727491	Agra Granites [Limited]		India	agra granites limited		india	"[""agra"",""granites"",""limited""]"	[]	"[""^ag"",""agr"",""gra"",""ra "",""a g"","" gr"",""gra"",""ran"",""ani"",""nit"",""ite"",""tes"",""es "",""s l"","" li"",""lim"",""imi"",""mit"",""ite"",""ted"",""ed$""]"	[]	S2
S2-101047094	SHOLAR, SHOLAR, ALISA W., PH.D. (CO)	2109 1/2 88TH STREET, CITY OF KENOSHA, WI	US	sholar sholar alisa w ph d co	2109 1 2 88th street city of kenosha wi	us	"[""sholar"",""sholar"",""alisa"",""w"",""ph"",""d"",""co""]"	"[""2109"",""1"",""2"",""88th"",""street"",""city"",""of"",""kenosha"",""wi""]"	"[""^sh"",""sho"",""hol"",""ola"",""lar"",""ar "",""r s"","" sh"",""sho"",""hol"",""ola"",""lar"",""ar "",""r a"","" al"",""ali"",""lis"",""isa"",""sa "",""a w"","" w "",""w p"","" ph"",""ph "",""h d"","" d "",""d c"","" co"",""co$""]"	"[""^21"",""210"",""109"",""09 "",""9 1"","" 1 "",""1 2"","" 2 "",""2 8"","" 88"",""88t"",""8th"",""th "",""h s"","" st"",""str"",""tre"",""ree"",""eet"",""et "",""t c"","" ci"",""cit"",""ity"",""ty "",""y o"","" of"",""of "",""f k"","" ke"",""ken"",""eno"",""nos"",""osh"",""sha"",""ha "",""a w"","" wi"",""wi$""]"	S2
S2-101145583	B 8  CRYSTAL GOLDEN	##1143 GARDEN DR, NEWPORT NEWS CITY, VA	US	b 8 crystal golden	1143 garden dr newport news city va	us	"[""b"",""8"",""crystal"",""golden""]"	"[""1143"",""garden"",""dr"",""newport"",""news"",""city"",""va""]"	"[""^b "",""b 8"","" 8 "",""8 c"","" cr"",""cry"",""rys"",""yst"",""sta"",""tal"",""al "",""l g"","" go"",""gol"",""old"",""lde"",""den"",""en$""]"	"[""^11"",""114"",""143"",""43 "",""3 g"","" ga"",""gar"",""ard"",""rde"",""den"",""en "",""n d"","" dr"",""dr "",""r n"","" ne"",""new"",""ewp"",""wpo"",""por"",""ort"",""rt "",""t n"","" ne"",""new"",""ews"",""ws "",""s c"","" ci"",""cit"",""ity"",""ty "",""y v"","" va"",""va$""]"	S2
S2-10119839	LITTLE BARBERSHOP-L.L.C.	12149 LEWIS CIR, FORNEY, TX	US	little barbershop l l c	12149 lewis cir forney tx	us	"[""little"",""barbershop"",""l"",""l"",""c""]"	"[""12149"",""lewis"",""cir"",""forney"",""tx""]"	"[""^li"",""lit"",""itt"",""ttl"",""tle"",""le "",""e b"","" ba"",""bar"",""arb"",""rbe"",""ber"",""ers"",""rsh"",""sho"",""hop"",""op "",""p l"","" l "",""l l"","" l "",""l c"","" c$""]"	"[""^12"",""121"",""214"",""149"",""49 "",""9 l"","" le"",""lew"",""ewi"",""wis"",""is "",""s c"","" ci"",""cir"",""ir "",""r f"","" fo"",""for"",""orn"",""rne"",""ney"",""ey "",""y t"","" tx"",""tx$""]"	S2
S2-10128667	BQA Tradeserve [Private]	Maharashtra, FLAT NO. I-601, MONT VERT, NR.DATTA MANDIR, S.NO.239, PUNE CITY	India	bqa tradeserve private	maharashtra flat number i 601 mont vert nr datta mandir s no 239 pune city	india	"[""bqa"",""tradeserve"",""private""]"	"[""maharashtra"",""flat"",""number"",""i"",""601"",""mont"",""vert"",""nr"",""datta"",""mandir"",""s"",""no"",""239"",""pune"",""city""]"	"[""^bq"",""bqa"",""qa "",""a t"","" tr"",""tra"",""rad"",""ade"",""des"",""ese"",""ser"",""erv"",""rve"",""ve "",""e p"","" pr"",""pri"",""riv"",""iva"",""vat"",""ate"",""te$""]"	"[""^ma"",""mah"",""aha"",""har"",""ara"",""ras"",""ash"",""sht"",""htr"",""tra"",""ra "",""a f"","" fl"",""fla"",""lat"",""at "",""t n"","" nu"",""num"",""umb"",""mbe"",""ber"",""er "",""r i"","" i "",""i 6"","" 60"",""601"",""01 "",""1 m"","" mo"",""mon"",""ont"",""nt "",""t v"","" ve"",""ver"",""ert"",""rt "",""t n"","" nr"",""nr "",""r d"","" da"",""dat"",""att"",""tta"",""ta "",""a m"","" ma"",""man"",""and"",""ndi"",""dir"",""ir "",""r s"","" s "",""s n"","" no"",""no "",""o 2"","" 23"",""239"",""39 "",""9 p"","" pu"",""pun"",""une"",""ne "",""e c"","" ci"",""cit"",""ity"",""ty$""]"	S2
S2-101399137	westernoctave.com	9503 MILSTEAD DR, BETHESDA, MD	US	westernoctave com	9503 milstead dr bethesda md	us	"[""westernoctave"",""com""]"	"[""9503"",""milstead"",""dr"",""bethesda"",""md""]"	"[""^we"",""wes"",""est"",""ste"",""ter"",""ern"",""rno"",""noc"",""oct"",""cta"",""tav"",""ave"",""ve "",""e c"","" co"",""com"",""om$""]"	"[""^95"",""950"",""503"",""03 "",""3 m"","" mi"",""mil"",""ils"",""lst"",""ste"",""tea"",""ead"",""ad "",""d d"","" dr"",""dr "",""r b"","" be"",""bet"",""eth"",""the"",""hes"",""esd"",""sda"",""da "",""a m"","" md"",""md$""]"	S2
